dataset,model,defense,defense_params,seed,config_hash,homophily,density,test_accuracy,val_accuracy,train_accuracy,gen_gap,split_protocol,test_f1,test_auroc,conf_attack_auc,conf_attack_acc,threshold_attack_auc,threshold_attack_acc,conf_tpr_at_0.001_fpr,conf_tpr_at_0.01_fpr,gap_attack_auc,gap_attack_acc,mlp_phi_attack_auc,mlp_phi_attack_acc,shadow_attack_auc,shadow_attack_acc,lira_attack_auc,lira_attack_acc,lira_tpr_at_0.001_fpr,lira_tpr_at_0.01_fpr,ece_test,train_seconds,multi_query_k,dp_epsilon,noise_mass,frac_protected,frac_seeds,mean_scale,relative_noise_mass_vs_uniform,n_protected,tag,n_shadows_run,wall_seconds
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.954,0.572,0.5485,0.5159,0.4968,0.0,0.0175,0.5392,0.5392,0.6283,0.5706,,,0.6725,0.632,0.0157,0.048,0.0393,3.921,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,harp,16,60.27
Cora,GraphSAGE,none,{},42,eac9960f8ba0,0.81,0.00144,0.8809,0.8579,1.0,0.1191,random_40_20_40,0.8756,0.9802,0.6572,0.6528,0.6455,0.5854,0.0,0.0102,0.5596,0.5596,0.6569,0.6482,,,0.8417,0.735,0.1533,0.2493,0.0549,1.2407,1,,,,,,,,none,64,75.13
Cora,GraphSAGE,none,{},123,eac9960f8ba0,0.81,0.00144,0.8707,0.8745,1.0,0.1293,random_40_20_40,0.8586,0.9783,0.6531,0.6482,0.6439,0.578,0.0,0.0212,0.5646,0.5646,0.6528,0.6445,,,0.8465,0.7475,0.1385,0.2382,0.0623,1.1424,1,,,,,,,,none,64,72.74
Cora,GraphSAGE,none,{},456,eac9960f8ba0,0.81,0.00144,0.8846,0.8875,1.0,0.1154,random_40_20_40,0.8768,0.9861,0.6535,0.65,0.6456,0.5854,0.0,0.0259,0.5577,0.5577,0.6533,0.6491,,,0.8541,0.7452,0.1625,0.3075,0.0428,1.0553,1,,,,,,,,none,64,73.0
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.81,0.00144,0.7054,0.6734,0.8052,0.0997,random_40_20_40,0.6803,0.8974,0.5716,0.554,0.5734,0.5466,0.0,0.0,0.5499,0.5499,0.5713,0.554,,,0.5633,0.5411,0.0018,0.0083,0.1419,1.0605,1,,812.4,1.0,,0.3,1.0,2708.0,lbp,64,76.32
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.81,0.00144,0.7184,0.7306,0.8098,0.0914,random_40_20_40,0.6922,0.8958,0.5584,0.5466,0.5472,0.5162,0.0,0.0,0.5457,0.5457,0.5591,0.542,,,0.569,0.5503,0.0009,0.0092,0.1461,1.2075,1,,812.4,1.0,,0.3,1.0,2708.0,lbp,64,76.93
Cora,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.81,0.00144,0.7239,0.7122,0.8135,0.0896,random_40_20_40,0.7007,0.8999,0.5485,0.5503,0.5531,0.5346,0.0,0.0,0.5448,0.5448,0.5755,0.566,,,0.5492,0.5286,0.0009,0.0074,0.1513,1.153,1,,812.4,1.0,,0.3,1.0,2708.0,lbp,64,83.27
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.81,0.00144,0.8449,0.8358,0.9077,0.0628,random_40_20_40,0.8294,0.9472,0.5622,0.5614,0.5005,0.4875,0.0,0.0129,0.5314,0.5314,0.6203,0.5697,,,0.6685,0.6062,0.0194,0.0831,0.0415,3.7838,1,,325.5,0.4007,0.1931,0.1202,0.4007,1085.0,harp,64,236.76
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.81,0.00144,0.8292,0.845,0.9141,0.0849,random_40_20_40,0.8107,0.9456,0.5796,0.5374,0.5219,0.5115,0.0,0.0175,0.5425,0.5425,0.6381,0.603,,,0.6921,0.6307,0.0277,0.0859,0.0308,3.4689,1,,325.2,0.4003,0.1821,0.1201,0.4003,1084.0,harp,64,225.96
Cora,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.81,0.00144,0.8329,0.8432,0.9114,0.0785,random_40_20_40,0.8205,0.9535,0.5719,0.5485,0.5159,0.4968,0.0,0.0175,0.5392,0.5392,0.6291,0.5697,,,0.6715,0.6145,0.0314,0.0563,0.0393,3.9408,1,,325.5,0.4007,0.1813,0.1202,0.4007,1085.0,harp,64,248.91
Chameleon,GraphSAGE,none,{},42,eac9960f8ba0,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.6328,0.6092,0.0066,0.0571,0.2938,4.4397,1,,,,,,,,none,4,23.49
Chameleon,GraphSAGE,none,{},123,eac9960f8ba0,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.6052,0.5955,0.0011,0.056,0.2792,4.4984,1,,,,,,,,none,4,23.07
Chameleon,GraphSAGE,none,{},456,eac9960f8ba0,0.235,0.006966,0.438,0.4571,0.9616,0.5236,random_40_20_40,0.4338,0.7607,0.8716,0.809,0.8877,0.8211,0.0011,0.1175,0.7618,0.7618,0.8734,0.8057,,,0.6153,0.5867,0.0033,0.0637,0.2961,4.2527,1,,,,,,,,none,4,21.9
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.5369,0.5313,0.0011,0.0241,0.2173,4.3185,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,4,22.1
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.5309,0.5291,0.0044,0.0505,0.2082,4.7454,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,4,22.41
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.235,0.006966,0.382,0.3626,0.809,0.427,random_40_20_40,0.3808,0.6687,0.7476,0.7003,0.7631,0.697,0.0,0.0,0.7135,0.7135,0.7486,0.6937,,,0.5484,0.5362,0.0088,0.0384,0.2249,4.3035,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,4,21.89
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.5636,0.5461,0.0033,0.0077,0.2485,13.139,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0,harp,4,66.75
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.5443,0.5434,0.0055,0.0132,0.2137,14.0135,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0,harp,4,67.33
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4446,0.6945,0.899,0.4544,random_40_20_40,0.4406,0.7339,0.8025,0.7256,0.803,0.719,0.0,0.0,0.7272,0.7272,0.8028,0.7256,,,0.5562,0.5445,0.0044,0.011,0.2511,13.2655,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0,harp,4,66.32
Chameleon,GraphSAGE,none,{},42,eac9960f8ba0,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.9501,0.865,0.1723,0.5642,0.2938,4.2844,1,,,,,,,,none,16,74.6
Chameleon,GraphSAGE,none,{},123,eac9960f8ba0,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.9335,0.8557,0.1361,0.3842,0.2792,4.353,1,,,,,,,,none,16,74.52
Chameleon,GraphSAGE,none,{},456,eac9960f8ba0,0.235,0.006966,0.438,0.4571,0.9616,0.5236,random_40_20_40,0.4338,0.7607,0.8716,0.809,0.8877,0.8211,0.0011,0.1175,0.7618,0.7618,0.8734,0.8057,,,0.9558,0.8727,0.258,0.5631,0.2961,4.4026,1,,,,,,,,none,16,75.19
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.6753,0.6328,0.0,0.0044,0.2173,4.4514,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,16,74.15
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.6508,0.6164,0.0,0.0055,0.2082,4.3137,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,16,72.6
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.235,0.006966,0.382,0.3626,0.809,0.427,random_40_20_40,0.3808,0.6687,0.7476,0.7003,0.7631,0.697,0.0,0.0,0.7135,0.7135,0.7486,0.6937,,,0.6677,0.629,0.0011,0.0055,0.2249,4.1396,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,16,71.69
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.7923,0.7272,0.0011,0.0209,0.2485,13.2211,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0,harp,16,203.53
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.7585,0.6987,0.0011,0.0176,0.2137,10.3487,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0,harp,16,189.04
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",456,eac9960f8ba0,0.235,0.006966,0.4446,0.6945,0.899,0.4544,random_40_20_40,0.4406,0.7339,0.8025,0.7256,0.803,0.719,0.0,0.0,0.7272,0.7272,0.8028,0.7256,,,0.7951,0.7162,0.0,0.0439,0.2511,10.6202,1,,273.3,0.4001,0.0738,0.12,0.4001,911.0,harp,16,176.4
Chameleon,GraphSAGE,none,{},42,eac9960f8ba0,0.235,0.006966,0.4402,0.5055,0.9594,0.5192,random_40_20_40,0.4383,0.7591,0.8829,0.82,0.8884,0.8299,0.0,0.1076,0.7596,0.7596,0.8858,0.8255,,,0.9683,0.8869,0.5137,0.6476,0.2938,3.0955,1,,,,,,,,none,64,178.87
Chameleon,GraphSAGE,none,{},123,eac9960f8ba0,0.235,0.006966,0.4643,0.4659,0.966,0.5016,random_40_20_40,0.4609,0.7564,0.8688,0.8255,0.8773,0.8167,0.0011,0.0637,0.7508,0.7508,0.8724,0.8288,,,0.9567,0.8831,0.2173,0.5434,0.2792,2.9554,1,,,,,,,,none,64,223.19
Chameleon,GraphSAGE,none,{},456,eac9960f8ba0,0.235,0.006966,0.438,0.4571,0.9616,0.5236,random_40_20_40,0.4338,0.7607,0.8716,0.809,0.8877,0.8211,0.0011,0.1175,0.7618,0.7618,0.8734,0.8057,,,0.9701,0.8913,0.4226,0.6323,0.2961,3.1431,1,,,,,,,,none,64,228.38
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",42,eac9960f8ba0,0.235,0.006966,0.393,0.4198,0.7947,0.4018,random_40_20_40,0.3919,0.6717,0.7605,0.7179,0.7542,0.697,0.0,0.0,0.7009,0.7009,0.7621,0.7058,,,0.6948,0.6202,0.0,0.0384,0.2173,3.2487,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,64,246.1
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",123,eac9960f8ba0,0.235,0.006966,0.3974,0.367,0.8189,0.4215,random_40_20_40,0.395,0.67,0.7595,0.7102,0.7683,0.6992,0.0,0.0615,0.7108,0.7108,0.7595,0.7124,,,0.6837,0.6081,0.0,0.0527,0.2082,4.3105,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,64,308.22
Chameleon,GraphSAGE,lbp,"{""scale"": 0.3}",456,eac9960f8ba0,0.235,0.006966,0.382,0.3626,0.809,0.427,random_40_20_40,0.3808,0.6687,0.7476,0.7003,0.7631,0.697,0.0,0.0,0.7135,0.7135,0.7486,0.6937,,,0.6753,0.6048,0.0,0.0011,0.2249,4.7152,1,,683.1,1.0,,0.3,1.0,2277.0,lbp,64,323.52
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",42,eac9960f8ba0,0.235,0.006966,0.4336,0.7187,0.8924,0.4588,random_40_20_40,0.4343,0.7199,0.8242,0.7278,0.8225,0.7311,0.0,0.0329,0.7294,0.7294,0.8263,0.7431,,,0.8236,0.7481,0.0066,0.0746,0.2485,14.8737,1,,273.3,0.4001,0.1208,0.12,0.4001,911.0,harp,64,790.75
Chameleon,GraphSAGE,harp,"{""lam"": 0.5, ""use_lte"": true, ""use_gate"": true, ""arch_aware"": true, ""risk_frac"": 0.3, ""k_hops"": 1, ""strong_noise_scale"": 0.3, ""weak_noise_scale"": 0.0, ""target_protect_frac"": 0.4, ""budget_B"": 0.0, ""warmup_epochs"": 5, ""entropy_coef"": 0.05, ""train_on_protected"": true}",123,eac9960f8ba0,0.235,0.006966,0.4764,0.7143,0.9001,0.4237,random_40_20_40,0.4748,0.748,0.7935,0.7025,0.7908,0.7058,0.0,0.067,0.7119,0.7119,0.7935,0.7003,,,0.8062,0.7146,0.0033,0.0648,0.2137,11.2082,1,,272.7,0.3992,0.1111,0.1198,0.3992,909.0,harp,64,811.68
