node,label,deg,conf_none,conf_harp,gap_none,gap_harp,gap_reduced,seed
177,1,25,0.7605097889900208,1.0,0.3195028007030487,0.5203681847139897,-0.200865384010941,False
944,4,51,0.9418420195579529,1.0,0.5008350610733032,0.5203681847139897,-0.01953312364068649,False
1577,0,13,0.9501858949661255,1.0,0.509178876876831,0.5203681847139897,-0.011189307837158657,True
381,1,25,0.3322666883468628,0.8115290960804188,-0.10874029994010925,0.3318972807944085,-0.44063758073451775,False
1610,2,4,0.6959034204483032,0.7442273740009375,0.2548964321613312,0.26459555871492724,-0.00969912655359606,False
906,0,5,0.5374420285224915,0.7178941638256604,0.09643504023551941,0.23826234853965012,-0.1418273083041307,True
409,0,1,0.6059342622756958,0.6716785792908767,0.16492727398872375,0.19204676400486642,-0.027119490016142667,True
913,0,5,0.5374420285224915,0.6435215137463534,0.09643504023551941,0.16388969846034307,-0.06745465822482366,True
1855,0,1,0.5374420285224915,0.5793033385599531,0.09643504023551941,0.0996715232739428,-0.003236483038423388,True
315,2,11,0.08685355633497238,0.5032317262854946,-0.35415342450141907,0.02359991099948433,-0.3777533355009034,False
